RowID	Speaker	SpeakerInfo	Question	Topic	Text
11	GUTHRIE	Moderator	1.0	Economy	All right. So with that business out of the way, we want to get to it. And we’ll start this evening with Senator Elizabeth Warren., Senator, good evening to you.
12	WARREN	Candidate	1.0	Economy	Thank you. Good to be here.
202	TODD	Moderator	15.0	Guns	OK, thank you, Senator Warren. You didn’t address — do you think the federal government needs to go and figure out a way to get the guns that are already out there?
203	WARREN	Candidate	15.0	Guns	What I think we need to do is we need to treat it like a serious research problem, which we have not done. You know, guns in the hands of a collector who’s had them for decades, who’s never fired them, who takes safety seriously, that’s very different from guns that are sold and turned over quickly. We can’t treat this as an across-the-board problem. We have to treat it like a public health emergency. That means bring data to bear and it means make real change in this country, whether it’s politically popular or not.
204	TODD	Moderator	15.0	Guns	Thank you, Senator. Senator Booker, you have a program…
205	WARREN	Candidate	15.0	Guns	We need to fight for our children.
206	TODD	Moderator	15.0	Guns	Senator Booker, you have a federal government buyback program in your plan. How is that going to work?
207	BOOKER	Candidate	15.0	Guns	Well, first of all, I want to say, my colleague and I both have been hearing this on the campaign trail. But what’s even worse is I hear gunshots in my neighborhood. I think I’m the only one — I hope I’m the only one on this panel here that had seven people shot in their neighborhood just last week. Someone I knew, Shahad Smith, was killed with an assault rifle at the top of my block last year. For millions of Americans, this is not a policy issue. This is an urgency. And for those that have not been directly affected, they’re tired of living in country where their kids go to school to learn about reading, writing, and arithmetic, and how to deal with an active shooter in their school. This is something that I’m tired of. And I’m tired of hearing people all, they have to offer is thoughts and prayers. In my faith, people say faith without works is dead. So we will find a way. But the reason we have a problem right now is we’ve let the corporate gun lobby frame this debate. It is time that we have bold actions and a bold agenda. I will get that done as president of the United States because this is not about policy. This is personal.
208	TODD	Moderator	15.0	Guns	Thank you, Senator Booker.
209	MADDOW	Moderator	15.0	Guns	Secretary Castro, I’d like to talk to you about something that Senator Booker just mentioned there, the idea of active shooter drills in schools, as school shootings seem like an almost everyday or every week occurrence now. They don’t make a complete news cycle anymore, no matter the death toll. As parents are so afraid as their kids go off to school that their kids will be caught up in something like this, next to nothing has changed in federal law that might affect the prevalence of school shootings. Is this a problem that is going to continue to get worse over our lifetimes? Or is there something that you would do as president that you really think would turn it around?
210	CASTRO	Candidate	15.0	Guns	You know, Rachel, I am the dad of a 10-year-old girl, Carina, who’s here tonight. And the worst thing is knowing that your child might be worried about what could happen at school, a place that’s supposed to be safe. The answer to your question is no. We don’t have to accept that. And I believe that, on January 20, 2021, at 12:01 p.m., we’re going to have a Democratic president, a Democratic House, and a Democratic Senate. And the activists of Parkland, folks from Moms Demand who have risen up across the United States and inspired so many people… … you know, we may not have seen yet legislative action, but we’re getting closer. The House took a vote. In the Senate, the question often is, if the decision is between 60 votes, a filibuster, or passing commonsense gun reform, I’m going to choose commonsense gun reform. So I believe that we’re going to be able to get that done in 2021.
211	TODD	Moderator	15.0	Guns	Secretary Castro, thank you.
212	RYAN	Candidate	15.0	Guns	Rachel, I have something to add to this briefly, because…
213	MADDOW	Moderator	15.0	Guns	We’ll give you — it’ll be 30 seconds for a follow-up on that question — on that answer from Secretary Castro. Congressman Ryan?
